time_s,theta_rad
2.5,6.284621760231743
2.5083333333333333,6.287013992814859
2.5166666666666666,6.286371995341561
2.525,6.285719348358257
2.533333333333333,6.2874793327718725
2.5416666666666665,6.285829648907845
2.55,6.287713958078327
2.558333333333333,6.286621837542584
2.566666666666667,6.287892375792607
2.575,6.285586664550209
2.5833333333333335,6.285504947446839
2.591666666666667,6.281549399318718
2.6,6.279875114891604
2.6083333333333334,6.28001996398371
2.6166666666666667,6.284675100362052
2.625,6.284485257228318
2.6333333333333333,6.285838066812943
2.6416666666666666,6.284279555634911
2.65,6.284604832319497
2.658333333333333,6.284981244061171
2.6666666666666665,6.283797666526713
2.675,6.284861398084515
2.683333333333333,6.284256516503903
2.691666666666667,6.285507424853479
2.7,6.2849781411535
2.7083333333333335,6.284409860741364
2.716666666666667,6.2862381893096515
2.725,6.2847781209572755
2.7333333333333334,6.284617737220357
2.7416666666666667,6.285424419495418
2.75,6.28572730532931
2.7583333333333333,6.284848713103973
2.7666666666666666,6.284923397201265
2.775,6.28406518772684
2.783333333333333,6.286357549599336
2.7916666666666665,6.2846093381001795
2.8,6.285777000313144
2.808333333333333,6.282708536374801
2.816666666666667,6.282947894459432
2.825,6.284375231461467
2.8333333333333335,6.28375011194872
2.841666666666667,6.2855548985650955
2.85,6.285811140298266
2.8583333333333334,6.284330982710815
2.8666666666666667,6.286822658276106
2.875,6.2849681409992515
2.8833333333333333,6.286633921483745
2.8916666666666666,6.284588293707618
2.9,6.287108212973254
2.908333333333333,6.288077468539713
2.9166666666666665,6.286244515174316
2.925,6.285842002818778
2.933333333333333,6.2844747637427005
2.941666666666667,6.285729228613758
2.95,6.285511019333075
2.9583333333333335,6.2869086948824675
2.966666666666667,6.286916558922259
2.975,6.284632978059744
2.9833333333333334,6.286217057347602
2.9916666666666667,6.28499455940665
3.0,6.285443334646826
3.0083333333333333,6.284014784918761
3.0166666666666666,6.286060313682428
3.025,6.283191895286854
3.033333333333333,6.282758907899205
3.0416666666666665,6.284722907953349
3.05,6.285201001352493
3.058333333333333,6.284935770092119
3.066666666666667,6.283955633040293
3.075,6.283005829349532
3.0833333333333335,6.285897445207164
3.091666666666667,6.286586761202022
3.1,6.284218067658082
3.1083333333333334,6.285360961143191
3.1166666666666667,6.282840111060078
3.125,6.282669649825407
3.1333333333333333,6.283203424426671
3.1416666666666666,6.285199327182433
3.15,6.282486574606139
3.158333333333333,6.2816442476604974
3.1666666666666665,6.283832127961876
3.175,6.2830295812889645
3.183333333333333,6.285026560730505
3.191666666666667,6.2870710126878935
3.2,6.285864816925834
3.2083333333333335,6.285352119942397
3.216666666666667,6.283355331997478
3.225,6.283972539996364
3.2333333333333334,6.2816923255980734
3.2416666666666667,6.281201049040913
3.25,6.283090749494608
3.2583333333333333,6.282862517094692
3.2666666666666666,6.285120364728765
3.275,6.284939097550927
3.283333333333333,6.284555617649112
3.2916666666666665,6.286550353696066
3.3,6.28565903736809
3.308333333333333,6.285053794177481
3.316666666666667,6.285355533108863
3.325,6.2853870040644795
3.3333333333333335,6.28215101714844
3.341666666666667,6.283014613728564
3.35,6.284443375324045
3.3583333333333334,6.28301690266039
3.3666666666666667,6.285549762813614
3.375,6.283158410262587
3.3833333333333333,6.283067637093682
3.3916666666666666,6.2849466443605655
3.4,6.2855175102734115
3.408333333333333,6.2827783849320475
3.4166666666666665,6.286171565340224
3.425,6.2858481984573205
3.433333333333333,6.285125428723082
3.441666666666667,6.2861859083681955
3.45,6.283844798980696
3.4583333333333335,6.2856075186672635
3.466666666666667,6.284033864114825
3.475,6.285793957512285
3.4833333333333334,6.284346601870112
3.4916666666666667,6.285301743447593
3.5,6.283541522927286
3.5083333333333333,6.284756755763445
3.5166666666666666,6.2828152267116915
3.525,6.283964423592696
3.533333333333333,6.2836695624314105
3.5416666666666665,6.28551732926144
3.55,6.2829581089398525
3.558333333333333,6.282129560856196
3.566666666666667,6.283769342380774
3.575,6.281486692559478
3.5833333333333335,6.283622814509544
3.591666666666667,6.28437435914095
3.6,6.283789157353574
3.6083333333333334,6.285331386495544
3.6166666666666667,6.2824749398621815
3.625,6.28279239707964
3.6333333333333333,6.280476088513063
3.6416666666666666,6.281225913038086
3.65,6.282079231578039
3.658333333333333,6.283310753136749
3.6666666666666665,6.285010581543229
3.675,6.28467486789268
3.683333333333333,6.284317764789573
3.691666666666667,6.28423928261092
3.7,6.283800045255052
3.7083333333333335,6.285842314361616
3.716666666666667,6.2841346773392255
3.725,6.285445413026565
3.7333333333333334,6.281191732037512
3.7416666666666667,6.279641356232432
3.75,6.280549150347909
3.7583333333333333,6.284774636028216
3.7666666666666666,6.286315470520941
3.775,6.286272065304917
3.783333333333333,6.284896464666945
3.7916666666666665,6.28616598457896
3.8,6.282905156376112
3.808333333333333,6.282309224068335
3.816666666666667,6.28368656183027
3.825,6.284337443387561
3.8333333333333335,6.283662502285584
3.841666666666667,6.284424485165454
3.85,6.28142409305349
3.8583333333333334,6.279643397683377
3.8666666666666667,6.281388009463594
3.875,6.2821301301216765
3.8833333333333333,6.284286387193055
3.8916666666666666,6.284716441998351
3.9,6.283484053989092
3.908333333333333,6.285203180852633
3.9166666666666665,6.28208836669246
3.925,6.28379628146921
3.933333333333333,6.283981399730138
3.941666666666667,6.283691275760316
3.95,6.286704971611018
3.9583333333333335,6.287333543733146
3.966666666666667,6.284306803773539
3.975,6.28542824712005
3.9833333333333334,6.2848988819503555
3.9916666666666667,6.283681297275398
4.0,6.2854931791724695
4.008333333333334,6.284650035845576
4.016666666666667,6.285595249796705
4.025,6.281490931642893
4.033333333333333,6.280016326393158
4.041666666666667,6.28112448657168
4.05,6.28333629405902
4.058333333333334,6.280649783491985
4.066666666666666,6.281089889859041
4.075,6.284928234237004
4.083333333333333,6.285804074833783
4.091666666666667,6.286763799723363
4.1,6.283774396261071
4.108333333333333,6.285787874178229
4.116666666666666,6.285160165961379
4.125,6.283525699633591
4.133333333333334,6.287042850060341
4.141666666666667,6.288243414112028
4.15,6.28543743112647
4.158333333333333,6.286422494764762
4.166666666666667,6.2840735972250625
4.175,6.286368099279687
4.183333333333334,6.284965017114945
4.191666666666666,6.287546004929901
4.2,6.287174165224219
4.208333333333333,6.284310072330182
4.216666666666667,6.284225239089155
4.225,6.282750323871327
4.233333333333333,6.285215492946818
4.241666666666666,6.284083787222149
4.25,6.285275098370712
4.258333333333334,6.283555343836292
4.266666666666667,6.284934660604741
4.275,6.2819935386208225
4.283333333333333,6.284192961992095
4.291666666666667,6.282956797280457
4.3,6.287259274544361
4.308333333333334,6.289301379276252
4.316666666666666,6.290482413880673
4.325,6.289877476183612
4.333333333333333,6.286576221678174
4.341666666666667,6.286923568022457
4.35,6.285827807905826
4.358333333333333,6.284976673262934
4.366666666666666,6.282795338125741
4.375,6.285625590540089
4.383333333333334,6.28417988724223
4.391666666666667,6.287129017552171
4.4,6.285527902435621
4.408333333333333,6.287000813158885
4.416666666666667,6.285120618368169
4.425,6.285044720161749
4.433333333333334,6.2850669909593435
4.441666666666666,6.2856797601240375
4.45,6.283881350149008
4.458333333333333,6.285218770240351
4.466666666666667,6.285911092305023
4.475,6.2840101395644705
4.483333333333333,6.285983992488701
4.491666666666666,6.2854107087944335
4.5,6.286147548992692
4.508333333333334,6.285278675305414
4.516666666666667,6.289120590403449
4.525,6.289167480839526
4.533333333333333,6.285328772722162
4.541666666666667,6.284764890098465
4.55,6.286089680605829
4.558333333333334,6.282197831896557
4.566666666666666,6.279032890252582
4.575,6.2782608436473755
4.583333333333333,6.280195888640577
4.591666666666667,6.282753457491412
4.6,6.2828812138798815
4.608333333333333,6.283305082056285
4.616666666666666,6.2837285346898435
4.625,6.285946486064224
4.633333333333334,6.284592896655409
4.641666666666667,6.286652729248407
4.65,6.2851060340630935
4.658333333333333,6.2866045079534905
4.666666666666667,6.283900001897105
4.675,6.28385165519911
4.683333333333334,6.282846417727311
4.691666666666666,6.285239333850328
4.7,6.285886931895886
4.708333333333333,6.285719582387425
4.716666666666667,6.2863595025313135
4.725,6.284767247110279
4.733333333333333,6.285428947316746
4.741666666666666,6.283989011441147
4.75,6.286181884535343
4.758333333333334,6.2867137296421145
4.766666666666667,6.28458592973582
4.775,6.287782086482222
4.783333333333333,6.287461003456897
4.791666666666667,6.284983434343463
4.8,6.283953934108196
4.808333333333334,6.285196413622032
4.816666666666666,6.2825222480571385
4.825,6.282163382694485
4.833333333333333,6.282682788473548
4.841666666666667,6.285740771905885
4.85,6.28526057946077
4.858333333333333,6.2832982496676175
4.866666666666666,6.285353118352526
4.875,6.282838523404478
4.883333333333334,6.281577440647283
4.891666666666667,6.28483151087607
4.9,6.284599851713406
4.908333333333333,6.284384077164978
4.916666666666667,6.283776576145505
4.925,6.28323626129392
4.933333333333334,6.285231403120075
4.941666666666666,6.284784975110157
4.95,6.284013298578069
4.958333333333333,6.286907700559976
4.966666666666667,6.28529384193445
4.975,6.286479191972469
4.983333333333333,6.285769269423758
4.991666666666666,6.283731543217508
5.0,6.286224716376638
5.008333333333334,6.286370732408296
5.016666666666667,6.284941788948979
5.025,6.286797577322224
5.033333333333333,6.284774921739216
5.041666666666667,6.286644146385619
5.05,6.2837514997356445
5.058333333333334,6.283760821557314
5.066666666666666,6.284271590861629
5.075,6.284014789421737
5.083333333333333,6.2851391977569
5.091666666666667,6.281866485165713
5.1,6.279877433544899
5.108333333333333,6.280622858810539
5.116666666666666,6.285974746520512
5.125,6.28921531918245
5.133333333333334,6.288750531177245
5.141666666666667,6.2871116411852075
5.15,6.285959797675206
5.158333333333333,6.285977487030282
5.166666666666667,6.2861956848744525
5.175,6.282736556773895
5.183333333333334,6.282233195430091
5.191666666666666,6.284545715822872
5.2,6.283856274340079
5.208333333333333,6.284214823647538
5.216666666666667,6.282827411237681
5.225,6.285587114100135
5.233333333333333,6.284431612857361
5.241666666666666,6.283219596621327
5.25,6.2829587647571685
5.258333333333334,6.284351776497065
5.266666666666667,6.284852135607248
5.275,6.283542994213819
5.283333333333333,6.28408037174756
5.291666666666667,6.284345288970576
5.3,6.2833700380265425
5.308333333333334,6.284831476795085
5.316666666666666,6.284570506094135
5.325,6.284983179443749
5.333333333333333,6.283647349110456
5.341666666666667,6.28748043717596
5.35,6.291474388463181
5.358333333333333,6.292901337593165
5.366666666666666,6.290419300949837
5.375,6.28739419728255
5.383333333333334,6.287430780199636
5.391666666666667,6.285338431137809
5.4,6.2875438756389155
5.408333333333333,6.2853751576571755
5.416666666666667,6.286590549692484
5.425,6.285381795213657
5.433333333333334,6.286476917899742
5.441666666666666,6.285790770223413
5.45,6.285977994438189
5.458333333333333,6.285927767447858
5.466666666666667,6.2846482222702305
5.475,6.284799974282328
5.483333333333333,6.2849163468085525
5.491666666666666,6.284390796536639
5.5,6.283530127599884
5.508333333333334,6.285984773534292
5.516666666666667,6.286264633472632
5.525,6.285095641166204
5.533333333333333,6.286871716863153
5.541666666666667,6.286614087072913
5.55,6.285567600970951
5.558333333333334,6.285754220144629
5.566666666666666,6.284488170253262
5.575,6.286897919743237
5.583333333333333,6.285589241978037
5.591666666666667,6.286461872305133
5.6,6.283460512371132
5.608333333333333,6.285239753584041
5.616666666666666,6.284039916719341
5.625,6.28692031291381
5.633333333333334,6.28560183418757
5.641666666666667,6.288420450041446
5.65,6.288410791611692
5.658333333333333,6.284351548201712
5.666666666666667,6.285311849595421
5.675,6.284271149149337
5.683333333333334,6.287170443621731
5.691666666666666,6.286570846190761
5.7,6.284428777677071
5.708333333333333,6.284081171431205
5.716666666666667,6.286211947023036
5.725,6.28729411281224
5.733333333333333,6.285229954553164
5.741666666666666,6.287274180504171
5.75,6.2878738183557825
5.758333333333334,6.2845115043160344
5.766666666666667,6.283912238704356
5.775,6.284990893660533
5.783333333333333,6.283317976994037
5.791666666666667,6.28408140717013
5.8,6.284271423004681
5.808333333333334,6.286494454338639
5.816666666666666,6.2853394958565385
5.825,6.285576313009113
5.833333333333333,6.285454389776816